lon lat depth
-122.100 36.000 -1500.0
-122.095 36.000 -1485.5
-122.090 36.000 -1470.2
-122.085 36.000 -1455.8
-122.080 36.000 -1440.5
-122.100 36.020 -1520.3
-122.095 36.020 -1505.0
-122.090 36.020 -1490.7
-122.085 36.020 -1475.2
-122.080 36.020 -1460.8
-122.100 36.040 -1540.5
-122.095 36.040 -1525.8
-122.090 36.040 -1510.3
-122.085 36.040 -1495.0
-122.080 36.040 -1480.2
-122.100 36.060 -1560.8
-122.095 36.060 -1545.2
-122.090 36.060 -1530.0
-122.085 36.060 -1515.5
-122.080 36.060 -1500.3
-122.100 36.080 -1580.0
-122.095 36.080 -1565.5
-122.090 36.080 -1550.2
-122.085 36.080 -1535.8
-122.080 36.080 -1520.5
-122.100 36.100 -1600.3
-122.095 36.100 -1585.0
-122.090 36.100 -1570.7
-122.085 36.100 -1555.2
-122.080 36.100 -1540.8
